,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,0.035328,0.014623,-0.999269,-0.227999,-0.030497,-0.973184,-0.097,-0.008,51.6,31.9,337.5,-0.202,0.151,0.053,0.0,0.0,0.56,0.0,0.2,0.0,0.0,1.0,0.0,0.71,1.02,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,0.035703,0.010152,-0.999311,-0.221711,-0.03548,-0.974467,-0.094,-0.013,51.7,31.8,337.8,-0.213,0.146,0.058,0.0,0.0,0.52,0.0,0.3,0.0,0.0,1.08,0.0,0.74,1.06,0.58,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,0.036123,0.00776,-0.999317,-0.222412,-0.038402,-0.974196,-0.094,-0.016,51.6,31.9,337.8,-0.215,0.145,0.06,0.0,0.0,0.49,0.0,0.36,0.0,0.0,1.07,0.0,0.77,1.07,0.56,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,0.035547,0.009798,-0.99932,-0.223414,-0.037636,-0.973997,-0.095,-0.014,51.6,31.9,338.0,-0.213,0.145,0.062,0.0,0.0,0.49,0.0,0.36,0.0,0.0,1.01,0.0,0.77,1.03,0.54,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,0.031345,0.005664,-0.999493,-0.225057,-0.042327,-0.973426,-0.098,-0.019,51.6,31.9,337.8,-0.22,0.144,0.063,0.0,0.0,0.51,0.0,0.32,0.0,0.0,1.0,0.0,0.71,0.97,0.54,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,0.026308,-0.009683,-0.999607,-0.227758,-0.054356,-0.972199,-0.102,-0.032,51.4,32.0,337.3,-0.231,0.14,0.068,0.0,0.0,0.54,0.0,0.3,0.0,0.0,0.96,0.0,0.61,0.79,0.5,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,0.030389,-0.01103,-0.999477,-0.205276,-0.05794,-0.976988,-0.088,-0.035,51.3,32.0,337.1,-0.244,0.132,0.073,0.0,0.0,0.54,0.0,0.32,0.0,0.0,0.83,0.0,0.36,0.86,0.52,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,0.028833,-0.020979,-0.999364,-0.212165,-0.07117,-0.974639,-0.093,-0.047,51.1,32.0,336.5,-0.256,0.127,0.079,0.0,0.0,0.58,0.0,0.34,0.0,0.0,0.63,0.0,0.17,0.87,0.46,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.028667,-0.025681,-0.999259,-0.213914,-0.078889,-0.973662,-0.094,-0.053,51.0,32.0,336.0,-0.263,0.123,0.083,0.0,0.0,0.55,0.0,0.34,0.0,0.0,0.49,0.0,0.06,1.0,0.46,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.0244,-0.028461,-0.999297,-0.198108,-0.080654,-0.976856,-0.088,-0.055,51.0,32.0,335.9,-0.268,0.119,0.086,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.37,0.0,0.14,0.95,0.51,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
