,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.93,1,-0.05398,-0.037102,-0.997853,-0.089351,-0.021756,-0.995763,-0.072,-0.03,18.0,1.2,390.4,-0.209,0.097,-0.061,0.0,0.21,0.61,0.0,0.31,0.0,0.8,0.83,0.0,0.98,0.82,1.7,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,0.033,0.93,1,-0.054333,-0.050074,-0.997266,-0.093329,-0.039861,-0.994837,-0.074,-0.045,18.0,1.4,389.9,-0.24,0.102,-0.062,0.1,0.39,0.59,0.03,0.26,0.0,0.67,0.92,0.0,1.11,0.88,1.65,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,3,0.067,0.93,1,-0.053752,-0.070895,-0.996034,-0.093886,-0.060487,-0.993744,-0.074,-0.066,18.0,1.6,389.3,-0.261,0.103,-0.06,0.11,0.52,0.56,0.09,0.23,0.01,0.5,1.04,0.0,1.12,0.95,1.47,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,4,0.1,0.93,1,-0.065546,-0.077918,-0.994803,-0.094144,-0.069579,-0.993124,-0.08,-0.074,17.9,1.7,388.6,-0.27,0.102,-0.058,0.1,0.56,0.53,0.13,0.16,0.03,0.38,0.8,0.0,0.99,0.95,1.17,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,-0.053792,-0.068363,-0.996209,-0.092538,-0.063046,-0.993711,-0.073,-0.066,17.3,2.6,387.4,-0.256,0.119,-0.052,0.04,0.35,0.63,0.19,0.08,0.03,0.31,0.44,0.0,1.1,0.56,0.7,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,6,0.167,0.93,1,-0.048342,-0.071914,-0.996239,-0.104215,-0.048514,-0.993371,-0.077,-0.06,17.1,3.8,387.7,-0.228,0.132,-0.051,0.03,0.29,0.7,0.36,0.01,0.02,0.28,0.05,0.0,1.23,0.24,0.31,0.0,1.81,0.0,0.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,-0.042425,-0.056174,-0.997519,-0.103536,-0.030808,-0.994148,-0.073,-0.044,17.3,4.5,387.7,-0.208,0.126,-0.053,0.0,0.24,0.8,0.45,0.0,0.0,0.23,0.0,0.0,1.38,0.13,0.0,0.0,1.75,0.0,0.0,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,-0.039602,-0.050509,-0.997938,-0.103332,-0.030137,-0.99419,-0.072,-0.04,17.3,4.5,387.5,-0.206,0.125,-0.053,0.0,0.24,0.87,0.53,0.0,0.0,0.18,0.0,0.0,1.42,0.04,0.0,0.0,1.72,0.07,0.0,0.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,9,0.267,0.93,1,-0.032388,-0.048634,-0.998291,-0.100432,-0.018756,-0.994767,-0.067,-0.034,17.2,5.0,387.8,-0.191,0.126,-0.053,0.0,0.1,0.94,0.47,0.0,0.0,0.15,0.0,0.0,1.43,0.02,0.0,0.0,1.79,0.1,0.0,0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,10,0.3,0.93,1,-0.037309,-0.046613,-0.998216,-0.09965,-0.010361,-0.994969,-0.069,-0.029,17.3,5.0,387.8,-0.19,0.123,-0.053,0.0,0.02,0.92,0.52,0.0,0.0,0.06,0.0,0.02,1.48,0.03,0.0,0.0,1.85,0.13,0.0,0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
