,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,-0.101557,0.267145,-0.95829,-0.240417,0.324458,-0.914837,-0.181,0.306,31.5,-6.4,433.8,0.172,0.129,-0.08,0.0,0.0,0.23,0.48,0.06,0.77,0.0,0.0,0.18,0.54,0.0,0.69,0.64,1.24,0.0,1.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,-0.103231,0.269003,-0.957591,-0.235811,0.329564,-0.91421,-0.179,0.31,31.6,-6.6,433.2,0.175,0.124,-0.082,0.0,0.0,0.39,0.4,0.07,1.01,0.0,0.0,0.21,0.64,0.0,0.65,0.71,1.22,0.0,1.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,-0.109971,0.27988,-0.953716,-0.228849,0.340653,-0.911912,-0.18,0.321,31.6,-6.6,433.4,0.185,0.123,-0.084,0.0,0.0,0.47,0.34,0.06,1.22,0.0,0.0,0.18,0.71,0.0,0.62,0.8,1.28,0.0,1.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,-0.098914,0.270588,-0.9576,-0.231138,0.328134,-0.915917,-0.174,0.309,31.5,-6.6,432.0,0.178,0.119,-0.082,0.04,0.0,0.56,0.34,0.02,1.36,0.0,0.01,0.15,0.78,0.0,0.56,0.79,1.15,0.0,1.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,-0.106459,0.277373,-0.954846,-0.23112,0.342041,-0.910819,-0.179,0.321,31.6,-6.6,433.3,0.189,0.122,-0.083,0.04,0.0,0.48,0.37,0.08,1.51,0.0,0.06,0.13,0.72,0.0,0.56,0.79,0.96,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,-0.109455,0.265117,-0.957984,-0.237826,0.335654,-0.911469,-0.184,0.311,31.7,-6.7,435.5,0.187,0.131,-0.082,0.04,0.0,0.45,0.47,0.08,1.36,0.0,0.12,0.14,0.74,0.0,0.54,0.79,0.71,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,-0.094545,0.284488,-0.954006,-0.222196,0.332027,-0.916726,-0.168,0.318,32.1,-6.9,436.3,0.188,0.126,-0.082,0.0,0.0,0.4,0.47,0.11,1.29,0.0,0.18,0.13,0.72,0.0,0.55,0.92,0.59,0.0,0.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,-0.082405,0.286418,-0.954555,-0.203916,0.33578,-0.919603,-0.152,0.321,32.3,-6.8,435.8,0.193,0.123,-0.08,0.0,0.0,0.51,0.34,0.09,1.15,0.0,0.16,0.1,0.75,0.0,0.49,0.9,0.48,0.0,0.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.022709,0.314014,-0.949147,-0.145721,0.3627,-0.920442,-0.066,0.347,32.8,-7.0,437.9,0.197,0.124,-0.079,0.0,0.0,0.6,0.15,0.1,1.23,0.0,0.2,0.12,0.73,0.0,0.63,0.83,0.41,0.0,0.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.060385,0.32273,-0.944563,-0.11927,0.372128,-0.920486,-0.032,0.357,33.0,-7.4,437.1,0.192,0.12,-0.077,0.0,0.0,0.68,0.03,0.11,1.01,0.0,0.25,0.12,0.78,0.0,0.88,0.79,0.34,0.0,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
